[2022/07/16 15:41:12] - Namespace(attack='none', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/716_2_nt_res18eca', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res18_eca', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/16 15:41:15] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/16 15:56:21] - 60 	 12.9 	 	 1.3 	 	 0.0100 	 0.2505 	 0.9153 	 0.2861 	 	 0.9005 	 	 0.4082 	 0.8647 	 0.4082 	 	 0.8647
[2022/07/16 15:56:36] - 61 	 13.1 	 	 1.7 	 	 0.0100 	 0.2424 	 0.9191 	 0.2814 	 	 0.9025 	 	 0.4153 	 0.8610 	 0.4153 	 	 0.8610
[2022/07/16 15:56:51] - 62 	 13.4 	 	 1.3 	 	 0.0100 	 0.2369 	 0.9222 	 0.2786 	 	 0.9032 	 	 0.4201 	 0.8609 	 0.4201 	 	 0.8609
[2022/07/16 15:57:06] - 63 	 14.0 	 	 1.3 	 	 0.0100 	 0.2276 	 0.9260 	 0.2716 	 	 0.9064 	 	 0.4252 	 0.8602 	 0.4252 	 	 0.8602
[2022/07/16 15:57:21] - 64 	 13.6 	 	 1.3 	 	 0.0100 	 0.2243 	 0.9258 	 0.2706 	 	 0.9056 	 	 0.4160 	 0.8626 	 0.4160 	 	 0.8626
[2022/07/16 15:57:35] - 65 	 13.0 	 	 1.2 	 	 0.0100 	 0.2184 	 0.9281 	 0.2667 	 	 0.9069 	 	 0.4128 	 0.8639 	 0.4128 	 	 0.8639
[2022/07/16 15:57:50] - 66 	 13.5 	 	 1.3 	 	 0.0100 	 0.2112 	 0.9312 	 0.2612 	 	 0.9082 	 	 0.4205 	 0.8596 	 0.4205 	 	 0.8596
[2022/07/16 15:58:05] - 67 	 13.0 	 	 1.3 	 	 0.0100 	 0.2093 	 0.9320 	 0.2612 	 	 0.9087 	 	 0.4285 	 0.8609 	 0.4285 	 	 0.8609
[2022/07/16 15:58:19] - 68 	 13.1 	 	 1.7 	 	 0.0100 	 0.2054 	 0.9339 	 0.2604 	 	 0.9092 	 	 0.4307 	 0.8614 	 0.4307 	 	 0.8614
[2022/07/16 15:58:33] - 69 	 12.6 	 	 1.2 	 	 0.0100 	 0.2013 	 0.9347 	 0.2563 	 	 0.9108 	 	 0.4378 	 0.8609 	 0.4378 	 	 0.8609
[2022/07/16 15:58:47] - 70 	 12.8 	 	 1.3 	 	 0.0100 	 0.1919 	 0.9383 	 0.2497 	 	 0.9133 	 	 0.4354 	 0.8598 	 0.4354 	 	 0.8598
[2022/07/16 15:59:02] - 71 	 13.4 	 	 1.3 	 	 0.0100 	 0.1943 	 0.9386 	 0.2544 	 	 0.9108 	 	 0.4351 	 0.8549 	 0.4351 	 	 0.8549
[2022/07/16 15:59:16] - 72 	 12.9 	 	 1.3 	 	 0.0100 	 0.1908 	 0.9405 	 0.2520 	 	 0.9123 	 	 0.4444 	 0.8605 	 0.4444 	 	 0.8605
[2022/07/16 15:59:28] - 73 	 10.9 	 	 1.3 	 	 0.0100 	 0.1817 	 0.9430 	 0.2440 	 	 0.9141 	 	 0.4608 	 0.8549 	 0.4608 	 	 0.8549
[2022/07/16 15:59:41] - 74 	 11.2 	 	 1.3 	 	 0.0010 	 0.1865 	 0.9422 	 0.2515 	 	 0.9115 	 	 0.4529 	 0.8536 	 0.4529 	 	 0.8536
[2022/07/16 15:59:53] - 75 	 11.0 	 	 1.3 	 	 0.0010 	 0.1909 	 0.9354 	 0.1966 	 	 0.9329 	 	 0.3961 	 0.8712 	 0.3961 	 	 0.8712
[2022/07/16 16:00:06] - 76 	 10.9 	 	 1.3 	 	 0.0010 	 0.1655 	 0.9457 	 0.1707 	 	 0.9433 	 	 0.3925 	 0.8724 	 0.3925 	 	 0.8724
[2022/07/16 16:00:18] - 77 	 11.2 	 	 1.3 	 	 0.0010 	 0.1595 	 0.9466 	 0.1648 	 	 0.9442 	 	 0.3933 	 0.8761 	 0.3933 	 	 0.8761
[2022/07/16 16:00:33] - 78 	 13.0 	 	 1.3 	 	 0.0010 	 0.1537 	 0.9483 	 0.1593 	 	 0.9457 	 	 0.3887 	 0.8778 	 0.3887 	 	 0.8778
[2022/07/16 16:00:47] - 79 	 13.1 	 	 1.3 	 	 0.0010 	 0.1477 	 0.9501 	 0.1534 	 	 0.9477 	 	 0.3997 	 0.8748 	 0.3997 	 	 0.8748
[2022/07/16 16:01:03] - 80 	 14.1 	 	 1.3 	 	 0.0010 	 0.1407 	 0.9532 	 0.1463 	 	 0.9508 	 	 0.4019 	 0.8749 	 0.4019 	 	 0.8749
[2022/07/16 16:01:18] - 81 	 13.4 	 	 1.8 	 	 0.0010 	 0.1341 	 0.9549 	 0.1398 	 	 0.9522 	 	 0.4000 	 0.8752 	 0.4000 	 	 0.8752
[2022/07/16 16:01:33] - 82 	 13.3 	 	 1.3 	 	 0.0010 	 0.1329 	 0.9560 	 0.1389 	 	 0.9533 	 	 0.4018 	 0.8753 	 0.4018 	 	 0.8753
[2022/07/16 16:01:48] - 83 	 14.3 	 	 1.3 	 	 0.0010 	 0.1283 	 0.9574 	 0.1343 	 	 0.9547 	 	 0.4041 	 0.8768 	 0.4041 	 	 0.8768
[2022/07/16 16:02:04] - 84 	 14.0 	 	 1.3 	 	 0.0010 	 0.1241 	 0.9584 	 0.1302 	 	 0.9557 	 	 0.4100 	 0.8769 	 0.4100 	 	 0.8769
[2022/07/16 16:02:18] - 85 	 13.0 	 	 1.3 	 	 0.0010 	 0.1251 	 0.9583 	 0.1314 	 	 0.9552 	 	 0.4084 	 0.8755 	 0.4084 	 	 0.8755
[2022/07/16 16:02:33] - 86 	 14.0 	 	 1.3 	 	 0.0010 	 0.1224 	 0.9591 	 0.1289 	 	 0.9565 	 	 0.4070 	 0.8758 	 0.4070 	 	 0.8758
[2022/07/16 16:02:48] - 87 	 13.4 	 	 1.3 	 	 0.0010 	 0.1189 	 0.9615 	 0.1255 	 	 0.9585 	 	 0.4134 	 0.8767 	 0.4134 	 	 0.8767
[2022/07/16 16:03:03] - 88 	 12.8 	 	 1.9 	 	 0.0010 	 0.1175 	 0.9604 	 0.1243 	 	 0.9576 	 	 0.4181 	 0.8746 	 0.4181 	 	 0.8746
[2022/07/16 16:03:17] - 89 	 13.5 	 	 1.3 	 	 0.0010 	 0.1140 	 0.9622 	 0.1208 	 	 0.9592 	 	 0.4196 	 0.8751 	 0.4196 	 	 0.8751
[2022/07/16 16:03:32] - 90 	 13.1 	 	 1.3 	 	 0.0010 	 0.1103 	 0.9627 	 0.1171 	 	 0.9596 	 	 0.4204 	 0.8748 	 0.4204 	 	 0.8748
[2022/07/16 16:03:47] - 91 	 13.7 	 	 1.3 	 	 0.0010 	 0.1110 	 0.9635 	 0.1181 	 	 0.9609 	 	 0.4190 	 0.8748 	 0.4190 	 	 0.8748
[2022/07/16 16:04:01] - 92 	 12.8 	 	 1.2 	 	 0.0010 	 0.1071 	 0.9649 	 0.1141 	 	 0.9617 	 	 0.4227 	 0.8744 	 0.4227 	 	 0.8744
[2022/07/16 16:04:16] - 93 	 13.8 	 	 1.3 	 	 0.0010 	 0.1029 	 0.9672 	 0.1099 	 	 0.9638 	 	 0.4219 	 0.8748 	 0.4219 	 	 0.8748
[2022/07/16 16:04:30] - 94 	 12.4 	 	 1.3 	 	 0.0010 	 0.1039 	 0.9662 	 0.1111 	 	 0.9625 	 	 0.4265 	 0.8751 	 0.4265 	 	 0.8751
[2022/07/16 16:04:43] - 95 	 12.3 	 	 1.3 	 	 0.0010 	 0.1004 	 0.9667 	 0.1076 	 	 0.9638 	 	 0.4240 	 0.8764 	 0.4240 	 	 0.8764
[2022/07/16 16:04:58] - 96 	 13.5 	 	 1.3 	 	 0.0010 	 0.1005 	 0.9676 	 0.1080 	 	 0.9645 	 	 0.4284 	 0.8747 	 0.4284 	 	 0.8747
[2022/07/16 16:05:12] - 97 	 12.7 	 	 1.4 	 	 0.0010 	 0.0995 	 0.9673 	 0.1072 	 	 0.9642 	 	 0.4322 	 0.8744 	 0.4322 	 	 0.8744
[2022/07/16 16:05:27] - 98 	 13.1 	 	 1.3 	 	 0.0010 	 0.0990 	 0.9670 	 0.1070 	 	 0.9635 	 	 0.4343 	 0.8729 	 0.4343 	 	 0.8729
[2022/07/16 16:05:41] - 99 	 12.7 	 	 1.3 	 	 0.0010 	 0.0957 	 0.9688 	 0.1033 	 	 0.9654 	 	 0.4317 	 0.8764 	 0.4317 	 	 0.8764
[2022/07/16 16:46:58] - Namespace(attack='none', attack_iters=10, batch_size=128, chkpt_iters=10, cutout=False, cutout_len=None, data_dir='../../cifar-data', epochs=100, epsilon=8, eval=False, fgsm_alpha=1.25, fgsm_init='random', fname='./results/716_2_nt_res18eca', half=False, l1=0, l2=0, lr_drop_epoch=100, lr_max=0.1, lr_one_drop=0.01, lr_schedule='piecewise', mixup=False, mixup_alpha=None, model='res18_eca', norm='l_inf', pgd_alpha=2, restarts=1, resume=0, seed=0, val=False, width_factor=10)
[2022/07/16 16:47:01] - Epoch 	 Train Time 	 Test Time 	 LR 	 	 Train Loss 	 Train Acc 	 Train Robust Loss 	 Train Robust Acc 	 Test Loss 	 Test Acc 	 Test Robust Loss 	 Test Robust Acc
[2022/07/16 16:47:16] - 0 	 13.8 	 	 1.3 	 	 0.1000 	 1.4688 	 0.4639 	 1.5928 	 	 0.4182 	 	 1.2925 	 0.5370 	 1.2925 	 	 0.5370
[2022/07/16 16:47:31] - 1 	 12.8 	 	 1.3 	 	 0.1000 	 1.1258 	 0.5968 	 1.2248 	 	 0.5596 	 	 1.0493 	 0.6304 	 1.0493 	 	 0.6304
[2022/07/16 16:47:44] - 2 	 11.8 	 	 1.3 	 	 0.1000 	 0.9723 	 0.6588 	 1.0765 	 	 0.6208 	 	 0.9882 	 0.6491 	 0.9882 	 	 0.6491
[2022/07/16 16:47:57] - 3 	 11.1 	 	 1.3 	 	 0.1000 	 0.8757 	 0.6940 	 0.9849 	 	 0.6532 	 	 0.8977 	 0.6911 	 0.8977 	 	 0.6911
[2022/07/16 16:48:09] - 4 	 11.2 	 	 1.3 	 	 0.1000 	 0.8065 	 0.7211 	 0.9227 	 	 0.6750 	 	 0.9161 	 0.6885 	 0.9161 	 	 0.6885
[2022/07/16 16:48:24] - 5 	 13.7 	 	 1.3 	 	 0.1000 	 0.7572 	 0.7413 	 0.8772 	 	 0.6944 	 	 0.8457 	 0.7122 	 0.8457 	 	 0.7122
[2022/07/16 16:48:39] - 6 	 13.2 	 	 1.3 	 	 0.1000 	 0.7236 	 0.7567 	 0.8493 	 	 0.7054 	 	 0.7903 	 0.7306 	 0.7903 	 	 0.7306
[2022/07/16 16:48:55] - 7 	 14.3 	 	 1.3 	 	 0.1000 	 0.6940 	 0.7659 	 0.8243 	 	 0.7121 	 	 0.8003 	 0.7241 	 0.8003 	 	 0.7241
[2022/07/16 16:49:10] - 8 	 13.2 	 	 1.4 	 	 0.1000 	 0.6722 	 0.7743 	 0.8024 	 	 0.7211 	 	 0.8780 	 0.6981 	 0.8780 	 	 0.6981
[2022/07/16 16:49:26] - 9 	 14.7 	 	 1.3 	 	 0.1000 	 0.6525 	 0.7815 	 0.7861 	 	 0.7270 	 	 0.7703 	 0.7368 	 0.7703 	 	 0.7368
